cd_ibge,nm_municipio,nm_uf,cd_uf,bl_capital,regiao_uf,lat_municipio,long_municipio,lat_long_municipio,lat_central_uf,long_central_uf,lat_long_central_uf
3507803,Brodowski,São Paulo,SP,False,Sudeste,-20.9845,-47.6572,"-20.9845,-47.6572",-23.55,-46.64,"-23.55,-46.64"
3507902,Brotas,São Paulo,SP,False,Sudeste,-22.2795,-48.1251,"-22.2795,-48.1251",-23.55,-46.64,"-23.55,-46.64"
3508009,Buri,São Paulo,SP,False,Sudeste,-23.7977,-48.5958,"-23.7977,-48.5958",-23.55,-46.64,"-23.55,-46.64"
3508108,Buritama,São Paulo,SP,False,Sudeste,-21.0661,-50.1475,"-21.0661,-50.1475",-23.55,-46.64,"-23.55,-46.64"
3508207,Buritizal,São Paulo,SP,False,Sudeste,-20.1911,-47.7096,"-20.1911,-47.7096",-23.55,-46.64,"-23.55,-46.64"
3508306,Cabralia Paulista,São Paulo,SP,False,Sudeste,-22.4576,-49.3393,"-22.4576,-49.3393",-23.55,-46.64,"-23.55,-46.64"
3508405,Cabreuva,São Paulo,SP,False,Sudeste,-23.3053,-47.1362,"-23.3053,-47.1362",-23.55,-46.64,"-23.55,-46.64"
3508504,Cacapava,São Paulo,SP,False,Sudeste,-23.0992,-45.7076,"-23.0992,-45.7076",-23.55,-46.64,"-23.55,-46.64"
3508603,Cachoeira Paulista,São Paulo,SP,False,Sudeste,-22.6665,-45.0154,"-22.6665,-45.0154",-23.55,-46.64,"-23.55,-46.64"
3508702,Caconde,São Paulo,SP,False,Sudeste,-21.528,-46.6437,"-21.528,-46.6437",-23.55,-46.64,"-23.55,-46.64"
3508801,Cafelandia,São Paulo,SP,False,Sudeste,-21.8031,-49.6092,"-21.8031,-49.6092",-23.55,-46.64,"-23.55,-46.64"
3508900,Caiabu,São Paulo,SP,False,Sudeste,-22.0127,-51.2394,"-22.0127,-51.2394",-23.55,-46.64,"-23.55,-46.64"
3509007,Caieiras,São Paulo,SP,False,Sudeste,-23.3607,-46.7397,"-23.3607,-46.7397",-23.55,-46.64,"-23.55,-46.64"
3509106,Caiua,São Paulo,SP,False,Sudeste,-21.8322,-51.9969,"-21.8322,-51.9969",-23.55,-46.64,"-23.55,-46.64"
3509205,Cajamar,São Paulo,SP,False,Sudeste,-23.355,-46.8781,"-23.355,-46.8781",-23.55,-46.64,"-23.55,-46.64"
3509254,Cajati,São Paulo,SP,False,Sudeste,-24.7324,-48.1223,"-24.7324,-48.1223",-23.55,-46.64,"-23.55,-46.64"
3509304,Cajobi,São Paulo,SP,False,Sudeste,-20.8773,-48.8063,"-20.8773,-48.8063",-23.55,-46.64,"-23.55,-46.64"

