cd_ibge,nm_municipio,nm_uf,cd_uf,bl_capital,regiao_uf,lat_municipio,long_municipio,lat_long_municipio,lat_central_uf,long_central_uf,lat_long_central_uf
3519600,Ibitinga,São Paulo,SP,False,Sudeste,-21.7562,-48.8319,"-21.7562,-48.8319",-23.55,-46.64,"-23.55,-46.64"
3519709,Ibiuna,São Paulo,SP,False,Sudeste,-23.6596,-47.223,"-23.6596,-47.223",-23.55,-46.64,"-23.55,-46.64"
3519808,Icem,São Paulo,SP,False,Sudeste,-20.3391,-49.1915,"-20.3391,-49.1915",-23.55,-46.64,"-23.55,-46.64"
3519907,Iepe,São Paulo,SP,False,Sudeste,-22.6602,-51.0779,"-22.6602,-51.0779",-23.55,-46.64,"-23.55,-46.64"
3520004,Igaracu Do Tiete,São Paulo,SP,False,Sudeste,-22.509,-48.5597,"-22.509,-48.5597",-23.55,-46.64,"-23.55,-46.64"
3520103,Igarapava,São Paulo,SP,False,Sudeste,-20.0407,-47.7466,"-20.0407,-47.7466",-23.55,-46.64,"-23.55,-46.64"
3520202,Igarata,São Paulo,SP,False,Sudeste,-23.2037,-46.157,"-23.2037,-46.157",-23.55,-46.64,"-23.55,-46.64"
3520301,Iguape,São Paulo,SP,False,Sudeste,-24.699,-47.5537,"-24.699,-47.5537",-23.55,-46.64,"-23.55,-46.64"
3520426,Ilha Comprida,São Paulo,SP,False,Sudeste,-24.7307,-47.5383,"-24.7307,-47.5383",-23.55,-46.64,"-23.55,-46.64"
3520442,Ilha Solteira,São Paulo,SP,False,Sudeste,-20.4326,-51.3426,"-20.4326,-51.3426",-23.55,-46.64,"-23.55,-46.64"
3520400,Ilhabela,São Paulo,SP,False,Sudeste,-23.7785,-45.3552,"-23.7785,-45.3552",-23.55,-46.64,"-23.55,-46.64"
3520509,Indaiatuba,São Paulo,SP,False,Sudeste,-23.0816,-47.2101,"-23.0816,-47.2101",-23.55,-46.64,"-23.55,-46.64"
3520608,Indiana,São Paulo,SP,False,Sudeste,-22.1738,-51.2555,"-22.1738,-51.2555",-23.55,-46.64,"-23.55,-46.64"
3520707,Indiapora,São Paulo,SP,False,Sudeste,-19.979,-50.2909,"-19.979,-50.2909",-23.55,-46.64,"-23.55,-46.64"
3520806,Inubia Paulista,São Paulo,SP,False,Sudeste,-21.7695,-50.9633,"-21.7695,-50.9633",-23.55,-46.64,"-23.55,-46.64"
3520905,Ipaussu,São Paulo,SP,False,Sudeste,-23.0575,-49.6279,"-23.0575,-49.6279",-23.55,-46.64,"-23.55,-46.64"
3521002,Ipero,São Paulo,SP,False,Sudeste,-23.3513,-47.6927,"-23.3513,-47.6927",-23.55,-46.64,"-23.55,-46.64"
3521101,Ipeuna,São Paulo,SP,False,Sudeste,-22.4355,-47.7151,"-22.4355,-47.7151",-23.55,-46.64,"-23.55,-46.64"
3521150,Ipigua,São Paulo,SP,False,Sudeste,-20.6557,-49.3842,"-20.6557,-49.3842",-23.55,-46.64,"-23.55,-46.64"
3521200,Iporanga,São Paulo,SP,False,Sudeste,-24.5847,-48.5971,"-24.5847,-48.5971",-23.55,-46.64,"-23.55,-46.64"
3521309,Ipua,São Paulo,SP,False,Sudeste,-20.4438,-48.0129,"-20.4438,-48.0129",-23.55,-46.64,"-23.55,-46.64"
3521408,Iracemapolis,São Paulo,SP,False,Sudeste,-22.5832,-47.523,"-22.5832,-47.523",-23.55,-46.64,"-23.55,-46.64"
3521507,Irapua,São Paulo,SP,False,Sudeste,-21.2768,-49.4164,"-21.2768,-49.4164",-23.55,-46.64,"-23.55,-46.64"
3521606,Irapuru,São Paulo,SP,False,Sudeste,-21.5684,-51.3472,"-21.5684,-51.3472",-23.55,-46.64,"-23.55,-46.64"
3521705,Itabera,São Paulo,SP,False,Sudeste,-23.8638,-49.14,"-23.8638,-49.14",-23.55,-46.64,"-23.55,-46.64"
3521804,Itai,São Paulo,SP,False,Sudeste,-23.4213,-49.092,"-23.4213,-49.092",-23.55,-46.64,"-23.55,-46.64"
3521903,Itajobi,São Paulo,SP,False,Sudeste,-21.3123,-49.0629,"-21.3123,-49.0629",-23.55,-46.64,"-23.55,-46.64"
3522000,Itaju,São Paulo,SP,False,Sudeste,-21.9857,-48.8116,"-21.9857,-48.8116",-23.55,-46.64,"-23.55,-46.64"
3522109,Itanhaem,São Paulo,SP,False,Sudeste,-24.1736,-46.788,"-24.1736,-46.788",-23.55,-46.64,"-23.55,-46.64"
3522158,Itaoca,São Paulo,SP,False,Sudeste,-24.6393,-48.8413,"-24.6393,-48.8413",-23.55,-46.64,"-23.55,-46.64"
3522208,Itapecerica Da Serra,São Paulo,SP,False,Sudeste,-23.7161,-46.8572,"-23.7161,-46.8572",-23.55,-46.64,"-23.55,-46.64"
3522307,Itapetininga,São Paulo,SP,False,Sudeste,-23.5886,-48.0483,"-23.5886,-48.0483",-23.55,-46.64,"-23.55,-46.64"
3522406,Itapeva,São Paulo,SP,False,Sudeste,-23.9788,-48.8764,"-23.9788,-48.8764",-23.55,-46.64,"-23.55,-46.64"
3522505,Itapevi,São Paulo,SP,False,Sudeste,-23.5488,-46.9327,"-23.5488,-46.9327",-23.55,-46.64,"-23.55,-46.64"
3522604,Itapira,São Paulo,SP,False,Sudeste,-22.4357,-46.8224,"-22.4357,-46.8224",-23.55,-46.64,"-23.55,-46.64"
3522653,Itapirapua Paulista,São Paulo,SP,False,Sudeste,-24.572,-49.1661,"-24.572,-49.1661",-23.55,-46.64,"-23.55,-46.64"
3522703,Itapolis,São Paulo,SP,False,Sudeste,-21.5942,-48.8149,"-21.5942,-48.8149",-23.55,-46.64,"-23.55,-46.64"
3522802,Itaporanga,São Paulo,SP,False,Sudeste,-23.7043,-49.4819,"-23.7043,-49.4819",-23.55,-46.64,"-23.55,-46.64"
3522901,Itapui,São Paulo,SP,False,Sudeste,-22.2324,-48.7197,"-22.2324,-48.7197",-23.55,-46.64,"-23.55,-46.64"
3523008,Itapura,São Paulo,SP,False,Sudeste,-20.6419,-51.5063,"-20.6419,-51.5063",-23.55,-46.64,"-23.55,-46.64"
3523107,Itaquaquecetuba,São Paulo,SP,False,Sudeste,-23.4835,-46.3457,"-23.4835,-46.3457",-23.55,-46.64,"-23.55,-46.64"
3523206,Itarare,São Paulo,SP,False,Sudeste,-24.1085,-49.3352,"-24.1085,-49.3352",-23.55,-46.64,"-23.55,-46.64"
3523305,Itariri,São Paulo,SP,False,Sudeste,-24.2834,-47.1736,"-24.2834,-47.1736",-23.55,-46.64,"-23.55,-46.64"
3523404,Itatiba,São Paulo,SP,False,Sudeste,-23.0035,-46.8464,"-23.0035,-46.8464",-23.55,-46.64,"-23.55,-46.64"
3523503,Itatinga,São Paulo,SP,False,Sudeste,-23.1047,-48.6157,"-23.1047,-48.6157",-23.55,-46.64,"-23.55,-46.64"
3523602,Itirapina,São Paulo,SP,False,Sudeste,-22.2562,-47.8166,"-22.2562,-47.8166",-23.55,-46.64,"-23.55,-46.64"
3523701,Itirapua,São Paulo,SP,False,Sudeste,-20.6416,-47.2194,"-20.6416,-47.2194",-23.55,-46.64,"-23.55,-46.64"
3523800,Itobi,São Paulo,SP,False,Sudeste,-21.7309,-46.9743,"-21.7309,-46.9743",-23.55,-46.64,"-23.55,-46.64"
3523909,Itu,São Paulo,SP,False,Sudeste,-23.2544,-47.2927,"-23.2544,-47.2927",-23.55,-46.64,"-23.55,-46.64"
3524006,Itupeva,São Paulo,SP,False,Sudeste,-23.1526,-47.0593,"-23.1526,-47.0593",-23.55,-46.64,"-23.55,-46.64"
3524105,Ituverava,São Paulo,SP,False,Sudeste,-20.3355,-47.7902,"-20.3355,-47.7902",-23.55,-46.64,"-23.55,-46.64"
3524204,Jaborandi,São Paulo,SP,False,Sudeste,-20.6884,-48.4112,"-20.6884,-48.4112",-23.55,-46.64,"-23.55,-46.64"
3524303,Jaboticabal,São Paulo,SP,False,Sudeste,-21.252,-48.3252,"-21.252,-48.3252",-23.55,-46.64,"-23.55,-46.64"
3524402,Jacarei,São Paulo,SP,False,Sudeste,-23.2983,-45.9658,"-23.2983,-45.9658",-23.55,-46.64,"-23.55,-46.64"
3524501,Jaci,São Paulo,SP,False,Sudeste,-20.8805,-49.5797,"-20.8805,-49.5797",-23.55,-46.64,"-23.55,-46.64"
3524600,Jacupiranga,São Paulo,SP,False,Sudeste,-24.6963,-48.0064,"-24.6963,-48.0064",-23.55,-46.64,"-23.55,-46.64"
3524709,Jaguariuna,São Paulo,SP,False,Sudeste,-22.7037,-46.9851,"-22.7037,-46.9851",-23.55,-46.64,"-23.55,-46.64"
3524808,Jales,São Paulo,SP,False,Sudeste,-20.2672,-50.5494,"-20.2672,-50.5494",-23.55,-46.64,"-23.55,-46.64"
3524907,Jambeiro,São Paulo,SP,False,Sudeste,-23.2522,-45.6942,"-23.2522,-45.6942",-23.55,-46.64,"-23.55,-46.64"
3525003,Jandira,São Paulo,SP,False,Sudeste,-23.5275,-46.9023,"-23.5275,-46.9023",-23.55,-46.64,"-23.55,-46.64"
3525102,Jardinopolis,São Paulo,SP,False,Sudeste,-21.0176,-47.7606,"-21.0176,-47.7606",-23.55,-46.64,"-23.55,-46.64"
3525201,Jarinu,São Paulo,SP,False,Sudeste,-23.1039,-46.728,"-23.1039,-46.728",-23.55,-46.64,"-23.55,-46.64"
3525300,Jau,São Paulo,SP,False,Sudeste,-22.2936,-48.5592,"-22.2936,-48.5592",-23.55,-46.64,"-23.55,-46.64"
3525409,Jeriquara,São Paulo,SP,False,Sudeste,-20.3116,-47.5918,"-20.3116,-47.5918",-23.55,-46.64,"-23.55,-46.64"
